what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551804674
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483551804911
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483551805058
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483551805069
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1483551816858
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483551816859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551827215
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551844274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551852429
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551863075
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483551867761
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483551867914
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1483551888712
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1483551904800
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1483551910441
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1483551918301
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551921062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551926162
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483551926619
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483551926789
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1483551949160
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1483551965087
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551977895
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551977957
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1483551981318
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551994746
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551994933
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483551995224
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483552021248
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1483552106306
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1483552107010
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1483552107015
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1483552107049
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1483552107061
